lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
10.25,14.67,0.7,1883.25,3052.33,0.62,5.0,6.5,0.77,4,6,0.67,0.0
16.0,4.0,4.0,3024.0,360.0,8.4,1.0,1.0,1.0,1,1,1.0,1.0
5.0,9.17,0.55,448.0,1155.33,0.39,3.0,4.17,0.72,1,6,0.17,0.0
7.0,10.0,0.7,720.0,972.0,0.74,4.0,1.0,4.0,1,1,1.0,1.0
11.0,11.25,0.98,1728.0,1968.5,0.88,5.0,5.12,0.98,1,8,0.12,0.0
9.5,5.5,1.73,1464.0,708.5,2.07,1.0,2.5,0.4,2,2,1.0,0.0
6.0,16.0,0.38,576.0,2916.0,0.2,1.0,7.0,0.14,1,1,1.0,0.0
10.0,17.0,0.59,1008.0,3240.0,0.31,4.0,8.0,0.5,1,1,1.0,0.0
9.0,11.62,0.77,1318.5,1737.75,0.76,4.0,1.0,4.0,2,8,0.25,0.0
12.0,13.0,0.92,2000.0,2016.0,0.99,5.0,6.0,0.83,1,1,1.0,0.0
7.0,11.0,0.64,576.0,1350.0,0.43,4.0,5.0,0.8,1,1,1.0,1.0
18.0,1.0,18.0,5096.0,180.0,28.31,8.0,1.0,8.0,1,1,1.0,1.0
8.0,18.0,0.44,960.0,4862.0,0.2,4.0,8.0,0.5,1,2,0.5,0.0
10.0,10.25,0.98,1008.0,2060.0,0.49,1.0,4.75,0.21,1,4,0.25,0.0
1.0,3.0,0.33,192.0,288.0,0.67,1.0,1.0,1.0,1,1,1.0,0.0
11.0,11.0,1.0,1944.0,1515.0,1.28,5.0,1.0,5.0,1,2,0.5,0.0
12.0,10.0,1.2,2916.0,1176.0,2.48,5.0,4.0,1.25,1,1,1.0,1.0
12.0,15.6,0.77,2100.0,3341.2,0.63,5.0,7.0,0.71,1,5,0.2,0.0
2.0,2.0,1.0,240.0,240.0,1.0,1.0,1.0,1.0,1,1,1.0,0.0
5.0,14.0,0.36,500.0,3024.0,0.17,3.0,6.0,0.5,1,1,1.0,0.0
17.0,16.0,1.06,2880.0,2160.0,1.33,8.0,7.0,1.14,1,1,1.0,0.0
2.0,13.83,0.14,225.0,3326.67,0.07,1.0,6.33,0.16,1,6,0.17,0.0
20.0,7.29,2.74,4800.0,1121.86,4.28,1.0,3.43,0.29,1,7,0.14,0.0
14.0,9.0,1.56,2880.0,1050.0,2.74,6.0,4.0,1.5,1,1,1.0,1.0
5.0,17.0,0.29,360.0,3150.0,0.11,1.0,1.0,1.0,1,1,1.0,0.0
9.0,10.0,0.9,1400.0,1440.0,0.97,4.0,4.0,1.0,1,1,1.0,1.0
11.0,8.0,1.38,1344.0,900.0,1.49,5.0,4.0,1.25,1,1,1.0,1.0
16.0,10.0,1.6,2640.0,1658.0,1.59,1.0,4.75,0.21,1,4,0.25,0.0
16.0,8.0,2.0,3276.0,1000.0,3.28,7.0,4.0,1.75,1,1,1.0,1.0
8.0,15.0,0.53,735.0,2880.0,0.26,4.0,7.0,0.57,1,1,1.0,0.0
1.0,20.0,0.05,192.0,5040.0,0.04,1.0,1.0,1.0,1,1,1.0,0.0
14.0,12.0,1.17,2025.0,1440.0,1.41,6.0,5.0,1.2,1,1,1.0,1.0
19.0,15.0,1.27,4224.0,1872.0,2.26,1.0,1.0,1.0,1,1,1.0,1.0
1.0,8.67,0.12,180.0,977.33,0.18,1.0,4.0,0.25,1,3,0.33,0.0
14.5,12.33,1.18,2410.5,1793.0,1.34,6.5,5.33,1.22,4,3,1.33,1.0
6.0,5.33,1.13,480.0,812.0,0.59,3.0,2.67,1.12,1,3,0.33,0.0
6.0,4.0,1.5,965.0,360.0,2.68,3.0,1.0,3.0,4,1,4.0,1.0
20.0,9.43,2.12,4851.0,1205.14,4.03,9.0,1.0,9.0,1,7,0.14,0.0
9.0,9.83,0.92,900.0,2099.33,0.43,4.0,4.5,0.89,2,6,0.33,0.0
12.0,8.0,1.5,1800.0,1080.71,1.67,5.0,1.0,5.0,1,7,0.14,0.0
7.0,12.75,0.55,720.0,2324.0,0.31,1.0,1.0,1.0,1,4,0.25,0.0
14.0,11.62,1.2,3072.0,1899.12,1.62,6.0,5.5,1.09,1,8,0.12,0.0
7.0,7.0,1.0,1152.0,755.0,1.53,4.0,3.33,1.2,1,3,0.33,0.0
10.0,12.0,0.83,1877.5,2385.0,0.79,4.67,6.0,0.78,6,2,3.0,1.0
17.0,20.0,0.85,3528.0,5616.0,0.63,1.0,9.0,0.11,1,1,1.0,1.0
8.17,9.67,0.84,1202.5,1482.0,0.81,3.67,4.67,0.79,6,3,2.0,1.0
17.0,17.0,1.0,3360.0,4608.0,0.73,1.0,8.0,0.12,1,1,1.0,0.0
5.0,15.0,0.33,432.0,2520.0,0.17,1.0,1.0,1.0,1,1,1.0,0.0
6.0,16.0,0.38,525.0,2592.0,0.2,3.0,1.0,3.0,1,1,1.0,0.0
19.0,11.0,1.73,4312.0,1389.0,3.1,9.0,1.0,9.0,1,2,0.5,1.0
12.0,19.0,0.63,1800.0,3850.0,0.47,5.0,9.0,0.56,1,1,1.0,0.0
12.0,11.75,1.02,1764.0,2112.5,0.84,1.0,5.5,0.18,2,8,0.25,0.0
8.86,8.0,1.11,1109.71,1452.0,0.76,1.0,4.140000000000001,0.24,7,7,1.0,0.0
4.0,13.0,0.31,360.0,1248.0,0.29,2.0,1.0,2.0,1,1,1.0,0.0
6.0,7.33,0.82,600.0,800.0,0.75,3.0,3.33,0.9,1,3,0.33,0.0
10.0,9.5,1.05,825.0,1620.0,0.51,4.0,4.5,0.89,1,2,0.5,0.0
11.0,13.5,0.81,1200.0,2888.62,0.42,5.0,6.25,0.8,1,8,0.12,0.0
8.0,2.0,4.0,768.0,225.0,3.41,4.0,1.0,4.0,1,1,1.0,1.0
4.0,11.25,0.36,360.0,1943.5,0.19,2.0,5.0,0.4,1,4,0.25,0.0
7.0,3.0,2.33,600.0,320.0,1.88,4.0,2.0,2.0,1,1,1.0,1.0
17.5,8.6,2.03,3478.0,1357.2,2.56,8.0,4.0,2.0,2,5,0.4,0.0
10.71,11.2,0.96,2119.43,2303.2,0.92,4.859999999999999,5.4,0.9,7,5,1.4,1.0
19.0,12.0,1.58,4410.0,1680.0,2.62,1.0,1.0,1.0,1,1,1.0,1.0
14.0,13.0,1.08,2520.0,2016.0,1.25,6.0,1.0,6.0,2,1,2.0,1.0
15.0,12.0,1.25,2450.0,2100.0,1.17,7.0,5.0,1.4,1,1,1.0,0.0
13.0,10.29,1.26,1972.0,1715.57,1.15,5.67,4.57,1.24,3,7,0.43,0.0
8.0,16.0,0.5,864.0,2772.0,0.31,1.0,7.0,0.14,1,1,1.0,0.0
17.0,20.0,0.85,2520.0,5082.0,0.5,8.0,9.0,0.89,1,1,1.0,0.0
2.0,12.6,0.16,240.0,2599.2,0.09,1.0,5.8,0.17,1,5,0.2,0.0
16.0,12.0,1.33,3024.0,2016.0,1.5,7.0,5.0,1.4,1,1,1.0,1.0
18.0,4.0,4.5,3888.0,336.0,11.57,1.0,1.0,1.0,1,1,1.0,1.0
10.0,9.0,1.11,1260.0,1281.75,0.98,4.0,1.0,4.0,1,8,0.12,0.0
8.0,10.0,0.8,1050.0,1029.0,1.02,4.0,1.0,4.0,1,1,1.0,1.0
1.0,9.0,0.11,180.0,959.0,0.19,1.0,4.25,0.24,1,4,0.25,0.0
11.25,13.38,0.84,2393.5,2945.5,0.81,5.38,6.0,0.9,8,8,1.0,0.0
16.0,6.0,2.67,3696.0,600.0,6.16,7.0,3.0,2.33,1,1,1.0,1.0
18.0,12.0,1.5,5600.0,2005.5,2.79,8.0,5.5,1.45,1,4,0.25,0.0
7.0,18.0,0.39,504.0,3696.0,0.14,4.0,8.0,0.5,1,1,1.0,0.0
6.0,17.0,0.35,576.0,4095.0,0.14,3.0,8.0,0.38,1,1,1.0,0.0
19.0,6.0,3.17,4896.0,576.0,8.5,9.0,3.0,3.0,1,1,1.0,1.0
14.0,19.0,0.74,2940.0,3456.0,0.85,6.0,9.0,0.67,1,1,1.0,0.0
10.5,10.67,0.98,2162.12,2284.0,0.95,4.88,5.0,0.98,8,3,2.67,1.0
18.0,12.0,1.5,3240.0,2400.0,1.35,8.0,5.0,1.6,1,1,1.0,1.0
14.0,9.0,1.56,2000.0,1400.0,1.43,6.0,4.0,1.5,1,1,1.0,1.0
7.83,17.25,0.45,1040.0,3826.5,0.27,3.83,7.75,0.49,6,4,1.5,0.0
1.0,6.0,0.17,180.0,504.0,0.36,1.0,3.0,0.33,1,1,1.0,0.0
16.0,13.0,1.23,2700.0,2520.0,1.07,1.0,6.0,0.17,1,1,1.0,1.0
15.0,14.67,1.02,2400.0,2986.67,0.8,7.0,6.67,1.05,1,3,0.33,0.0
3.0,2.0,1.5,320.0,256.0,1.25,2.0,1.0,2.0,1,1,1.0,1.0
8.0,2.0,4.0,900.0,240.0,3.75,4.0,1.0,4.0,1,1,1.0,1.0
20.0,14.0,1.43,5040.0,2016.0,2.5,1.0,1.0,1.0,1,1,1.0,1.0
8.0,15.0,0.53,768.0,1848.0,0.42,1.0,1.0,1.0,1,1,1.0,1.0
