lv1,lv2,lvrel,att1,att2,attrel,tech1,tech2,techrel,n1,n2,nrel,y
1.0,12.71,0.08,180.0,2593.86,0.07,1.0,5.86,0.17,1,7,0.14,0.0
4.0,6.4,0.62,360.0,691.2,0.52,2.0,3.2,0.62,1,5,0.2,0.0
18.0,1.0,18.0,5184.0,192.0,27.0,8.0,1.0,8.0,1,1,1.0,1.0
8.0,8.0,1.0,875.0,1383.0,0.63,1.0,4.0,0.25,1,4,0.25,0.0
10.83,10.86,1.0,1714.67,2229.14,0.77,1.0,5.14,0.19,6,7,0.86,0.0
18.0,12.6,1.43,5184.0,2689.2,1.93,8.0,5.8,1.38,1,5,0.2,0.0
16.0,16.0,1.0,3024.0,2800.0,1.08,7.0,7.0,1.0,1,1,1.0,0.0
7.33,7.25,1.01,971.33,870.0,1.12,3.5,3.25,1.08,6,4,1.5,1.0
4.0,13.33,0.3,360.0,2256.0,0.16,1.0,1.0,1.0,1,3,0.33,0.0
13.0,11.5,1.13,1890.0,1837.33,1.03,6.0,1.0,6.0,1,6,0.17,0.0
10.14,7.75,1.31,1735.71,1078.12,1.61,4.859999999999999,3.75,1.3,7,8,0.88,1.0
17.0,3.0,5.67,5376.0,360.0,14.93,8.0,2.0,4.0,1,1,1.0,1.0
8.83,9.57,0.92,2081.0,2132.57,0.98,4.17,4.43,0.94,6,7,0.86,0.0
9.0,11.5,0.78,1050.0,2328.5,0.45,4.0,5.33,0.75,1,6,0.17,0.0
16.0,9.0,1.78,2400.0,1008.0,2.38,7.0,4.0,1.75,1,1,1.0,1.0
16.0,17.0,0.94,3087.0,4608.0,0.67,1.0,8.0,0.12,1,1,1.0,0.0
4.0,14.0,0.29,480.0,2688.0,0.18,2.0,6.0,0.33,1,1,1.0,0.0
5.0,14.0,0.36,480.0,2352.0,0.2,3.0,6.0,0.5,1,1,1.0,0.0
13.0,8.5,1.53,2058.0,1100.33,1.87,1.0,4.17,0.24,1,6,0.17,0.0
12.0,18.0,0.67,1764.0,4480.0,0.39,1.0,8.0,0.12,1,1,1.0,0.0
12.0,9.0,1.33,1260.0,1080.0,1.17,1.0,1.0,1.0,1,1,1.0,0.0
8.0,6.0,1.33,1050.0,831.0,1.26,4.0,3.0,1.33,1,4,0.25,0.0
8.25,13.33,0.62,1056.25,2096.0,0.5,4.0,6.0,0.67,4,3,1.33,1.0
4.0,11.0,0.36,400.0,1512.0,0.26,2.0,1.0,2.0,1,1,1.0,0.0
12.0,4.5,2.67,1512.0,381.5,3.96,1.0,2.5,0.4,1,2,0.5,1.0
2.0,14.0,0.14,240.0,2240.0,0.11,1.0,6.0,0.17,1,1,1.0,0.0
20.0,9.0,2.22,4608.0,1680.0,2.74,9.0,4.0,2.25,1,1,1.0,1.0
5.0,12.25,0.41,525.0,2191.5,0.24,3.0,5.75,0.52,1,4,0.25,0.0
14.0,12.86,1.09,2397.6,2639.43,0.91,1.0,5.86,0.17,5,7,0.71,0.0
4.0,19.0,0.21,360.0,5280.0,0.07,2.0,9.0,0.22,1,1,1.0,0.0
9.5,9.29,1.02,1060.0,1782.0,0.59,1.0,4.43,0.23,2,7,0.29,0.0
12.0,7.14,1.68,2800.0,881.71,3.18,5.0,1.0,5.0,1,7,0.14,0.0
11.25,8.0,1.41,2134.0,1080.0,1.98,5.0,4.0,1.25,4,1,4.0,1.0
16.0,6.0,2.67,5376.0,576.0,9.33,7.0,1.0,7.0,1,1,1.0,1.0
11.0,16.0,0.69,1500.0,2560.0,0.59,5.0,1.0,5.0,1,1,1.0,1.0
